ts,order_id,symbol_id,price,quantity,venue,cost
2024-06-24T20:00:00Z,bb_short_MRK,34,130.99424325,100,XNYS,0.8039972776
2024-06-25T20:00:00Z,bb_short_GOOGL,3,183.530106,100,XNAS,0.9201015343
2024-06-25T20:00:00Z,bb_flatten_WMT,19,67.436855,100,XNYS,0.5
2024-06-25T20:00:00Z,bb_flatten_JNJ,20,147.2267975,100,XNYS,0.5
2024-06-25T20:00:00Z,bb_flatten_MA,26,455.7639125,100,XNYS,0.5
2024-06-25T20:00:00Z,bb_long_TMO,31,556.65913,100,XNYS,0.5
2024-06-25T20:00:00Z,bb_flatten_MRK,34,131.020747,100,XNYS,0.5
2024-06-26T20:00:00Z,bb_short_AMZN,4,193.5615975,100,XNAS,0.9422711305
2024-06-26T20:00:00Z,bb_short_TSLA,5,196.3209075,100,XNAS,0.9483692056
2024-06-26T20:00:00Z,bb_flatten_TMO,31,558.0304575,100,XNYS,1.7477473110999997
2024-06-27T20:00:00Z,bb_short_CRM,10,252.7867875,100,XNAS,1.0731588004
2024-06-27T20:00:00Z,bb_long_V,25,265.17127625,100,XNYS,0.5
2024-06-27T20:00:00Z,bb_long_TMO,31,550.917695,100,XNYS,0.5
2024-06-28T20:00:00Z,bb_flatten_GOOGL,3,181.74642525,100,XNAS,0.5
2024-06-28T20:00:00Z,bb_flatten_AMZN,4,193.2983125,100,XNAS,0.5
2024-06-28T20:00:00Z,bb_short_UNH,22,499.69804425,100,XNYS,1.6188326778
2024-06-28T20:00:00Z,bb_long_DIS,24,99.3148225,100,XNYS,0.5
2024-06-28T20:00:00Z,bb_flatten_TMO,31,552.86175,100,XNYS,1.7363244675
2024-06-28T20:00:00Z,bb_long_MRK,34,122.0305,100,XNYS,0.5
2024-07-01T20:00:00Z,bb_short_AMZN,4,197.1507,100,XNAS,0.950203047
2024-07-01T20:00:00Z,bb_short_JPM,17,205.3986375,100,XNYS,0.9684309889
2024-07-01T20:00:00Z,bb_long_PG,21,162.76068,100,XNYS,0.5
2024-07-01T20:00:00Z,bb_flatten_UNH,22,485.60437075,100,XNYS,0.5
2024-07-01T20:00:00Z,bb_long_MA,26,437.7194025,100,XNYS,0.5
2024-07-01T20:00:00Z,bb_long_TMO,31,541.85543,100,XNYS,0.5
2024-07-01T20:00:00Z,bb_flatten_MRK,34,126.00948975,100,XNYS,0.7929809723
2024-07-02T20:00:00Z,bb_flatten_CRM,10,256.2540475,100,XNAS,0.5
2024-07-02T20:00:00Z,bb_short_BAC,18,40.9197675,100,XNYS,0.6049326862
2024-07-02T20:00:00Z,bb_flatten_PG,21,163.859025,100,XNYS,0.8766284452
2024-07-02T20:00:00Z,bb_flatten_V,25,266.669316,100,XNYS,1.1038391884
2024-07-02T20:00:00Z,bb_flatten_MA,26,444.5388375,100,XNYS,1.4969308309
2024-07-03T20:00:00Z,bb_flatten_AMZN,4,197.6393975,100,XNAS,0.5
2024-07-03T20:00:00Z,bb_short_INTC,12,31.2221925,100,XNAS,0.5835010454
2024-07-03T20:00:00Z,bb_flatten_DIS,24,98.5853475,100,XNYS,0.732373618
2024-07-03T20:00:00Z,bb_long_ABBV,28,163.88096,100,XNYS,0.5
2024-07-03T20:00:00Z,bb_flatten_TMO,31,535.4760975,100,XNYS,1.6979021755
2024-07-05T20:00:00Z,bb_short_GOOGL,3,190.08146775,100,XNAS,0.9345800437
2024-07-05T20:00:00Z,bb_short_META,6,539.7750225,100,XNAS,1.7074027997
2024-07-05T20:00:00Z,bb_short_AMD,13,171.857025,100,XNAS,0.8943040252
2024-07-05T20:00:00Z,bb_flatten_JPM,17,204.8411975,100,XNYS,0.5
2024-07-05T20:00:00Z,bb_flatten_BAC,18,40.4201025,100,XNYS,0.5
2024-07-05T20:00:00Z,bb_short_WMT,19,70.02249,100,XNYS,0.6692497029
2024-07-05T20:00:00Z,bb_flatten_ABBV,28,167.2081875,100,XNYS,0.8840300944
2024-07-05T20:00:00Z,bb_short_COST,33,885.4485825,100,XNYS,2.4713413673
2024-07-08T20:00:00Z,bb_flatten_GOOGL,3,188.61014075,100,XNAS,0.5
2024-07-08T20:00:00Z,bb_flatten_META,6,529.45233,100,XNAS,0.5
2024-07-08T20:00:00Z,bb_flatten_WMT,19,69.69742,100,XNYS,0.5
2024-07-09T20:00:00Z,bb_short_BAC,18,41.409645,100,XNYS,0.6060153154
2024-07-10T20:00:00Z,bb_flatten_TSLA,5,263.325815,100,XNAS,0.5
2024-07-10T20:00:00Z,bb_short_WMT,19,70.3923975,100,XNYS,0.6700671985
2024-07-10T20:00:00Z,bb_short_JNJ,20,149.3926425,100,XNYS,0.8446577399
2024-07-10T20:00:00Z,bb_long_MA,26,433.74841,100,XNYS,0.5
2024-07-10T20:00:00Z,bb_flatten_COST,33,884.5310775,100,XNYS,0.5
2024-07-11T20:00:00Z,bb_flatten_INTC,12,33.508375,100,XNAS,0.5
2024-07-11T20:00:00Z,bb_flatten_WMT,19,69.81745,100,XNYS,0.5
2024-07-11T20:00:00Z,bb_flatten_MA,26,436.310895,100,XNYS,1.478747078
2024-07-11T20:00:00Z,bb_short_PFE,27,28.652835,100,XNYS,0.5778227653
2024-07-12T20:00:00Z,bb_long_NFLX,8,647.7619,100,XNAS,0.5
2024-07-12T20:00:00Z,bb_flatten_AMD,13,181.6554025,100,XNAS,0.5
2024-07-12T20:00:00Z,bb_flatten_BAC,18,41.6003975,100,XNYS,0.5
2024-07-12T20:00:00Z,bb_flatten_JNJ,20,149.91747,100,XNYS,0.5
2024-07-12T20:00:00Z,bb_short_UNH,22,501.9244875,100,XNYS,1.6237531173999997
2024-07-15T20:00:00Z,bb_flatten_NFLX,8,656.2858875,100,XNAS,1.9648918114000002
2024-07-16T20:00:00Z,bb_short_PYPL,11,61.7945475,100,XNAS,0.65106595
2024-07-16T20:00:00Z,bb_short_BAC,18,44.1189675,100,XNYS,0.6120029182
2024-07-16T20:00:00Z,bb_short_JNJ,20,150.9722475,100,XNYS,0.848148667
2024-07-16T20:00:00Z,bb_short_HD,23,369.02772,100,XNYS,1.3300512612
2024-07-17T20:00:00Z,bb_long_META,6,462.1054975,100,XNAS,0.5
2024-07-17T20:00:00Z,bb_flatten_PYPL,11,61.25531,100,XNAS,0.5
2024-07-17T20:00:00Z,bb_short_CSCO,15,48.50787,100,XNAS,0.6217023927
2024-07-17T20:00:00Z,bb_short_JPM,17,216.8157825,100,XNYS,0.9936628793
2024-07-17T20:00:00Z,bb_short_ABBV,28,175.2261825,100,XNYS,0.9017498633000001
2024-07-17T20:00:00Z,bb_short_KO,29,65.1936975,100,XNYS,0.6585780715
2024-07-17T20:00:00Z,bb_short_PEP,30,169.8475275,100,XNYS,0.8898630358
2024-07-18T20:00:00Z,bb_flatten_META,6,475.7310375,100,XNAS,1.5658655928999998
2024-07-18T20:00:00Z,bb_flatten_CSCO,15,48.05201,100,XNAS,0.5
2024-07-18T20:00:00Z,bb_flatten_JPM,17,210.032495,100,XNYS,0.5
2024-07-18T20:00:00Z,bb_flatten_BAC,18,43.0207525,100,XNYS,0.5
2024-07-18T20:00:00Z,bb_flatten_HD,23,366.17152,100,XNYS,0.5
2024-07-18T20:00:00Z,bb_flatten_PFE,27,29.7174275,100,XNYS,0.5
2024-07-18T20:00:00Z,bb_flatten_ABBV,28,171.182785,100,XNYS,0.5
2024-07-18T20:00:00Z,bb_long_ABT,35,100.0950175,100,XNYS,0.5
2024-07-19T20:00:00Z,bb_long_MSFT,2,435.560863,100,XNAS,0.5
2024-07-19T20:00:00Z,bb_long_NFLX,8,633.498335,100,XNAS,0.5
2024-07-19T20:00:00Z,bb_long_QCOM,16,186.2565525,100,XNAS,0.5
2024-07-19T20:00:00Z,bb_flatten_JNJ,20,154.7286725,100,XNYS,0.5
2024-07-19T20:00:00Z,bb_flatten_UNH,22,554.99171325,100,XNYS,0.5
2024-07-19T20:00:00Z,bb_flatten_PEP,30,169.40234,100,XNYS,0.5
2024-07-19T20:00:00Z,bb_flatten_ABT,35,102.0044925,100,XNYS,0.7399299284
2024-07-22T20:00:00Z,bb_flatten_MSFT,2,441.149685,100,XNAS,1.4894408038
2024-07-22T20:00:00Z,bb_flatten_NFLX,8,647.338125,100,XNAS,1.9451172563
2024-07-22T20:00:00Z,bb_flatten_QCOM,16,194.9212575,100,XNAS,0.9452759790999999
2024-07-22T20:00:00Z,bb_flatten_KO,29,64.7861925,100,XNYS,0.5
2024-07-22T20:00:00Z,bb_long_VZ,36,39.0997725,100,XNYS,0.5
2024-07-23T20:00:00Z,bb_long_DIS,24,90.962735,100,XNYS,0.5
2024-07-24T20:00:00Z,bb_long_MSFT,2,427.37981825,100,XNAS,0.5
2024-07-24T20:00:00Z,bb_long_GOOGL,3,172.247051,100,XNAS,0.5
2024-07-24T20:00:00Z,bb_long_NVDA,7,114.260558,100,XNAS,0.5
2024-07-24T20:00:00Z,bb_long_ADBE,9,531.17276,100,XNAS,0.5
2024-07-24T20:00:00Z,bb_long_QCOM,16,181.1152675,100,XNAS,0.5
2024-07-24T20:00:00Z,bb_long_V,25,252.81818875,100,XNYS,0.5
2024-07-24T20:00:00Z,bb_long_MA,26,432.5581125,100,XNYS,0.5
2024-07-24T20:00:00Z,bb_short_ABBV,28,176.1659475,100,XNYS,0.903826744
2024-07-24T20:00:00Z,bb_short_KO,29,65.7935475,100,XNYS,0.65990374
2024-07-24T20:00:00Z,bb_short_TMO,31,574.5863175,100,XNYS,1.7843357617
2024-07-24T20:00:00Z,bb_long_AVGO,32,150.881711,100,XNYS,0.5
2024-07-24T20:00:00Z,bb_short_ABT,35,107.233185,100,XNYS,0.7514853389
2024-07-24T20:00:00Z,bb_flatten_VZ,36,39.6600825,100,XNYS,0.6021487823
2024-07-25T20:00:00Z,bb_long_AMD,13,138.35458,100,XNAS,0.5
