symbol,exchange,date,open,high,low,close,volume
JPM,XNYS,2025-06-10T00:00:00+00:00,266.0,268.9,265.85,268.6,7538135
JPM,XNYS,2025-06-11T00:00:00+00:00,268.67,269.6199,265.7862,268.15,7434064
JPM,XNYS,2025-06-12T00:00:00+00:00,266.86,268.29,265.14,268.24,6618026
JPM,XNYS,2025-06-13T00:00:00+00:00,265.08,267.02,262.71,264.95,7098265
JPM,XNYS,2025-06-16T00:00:00+00:00,267.0,271.73,266.85,270.36,8566019
JPM,XNYS,2025-06-17T00:00:00+00:00,268.17,270.59,267.8,269.52,6739262
JPM,XNYS,2025-06-18T00:00:00+00:00,269.8,277.72,269.72,273.96,9586440
JPM,XNYS,2025-06-20T00:00:00+00:00,275.53,277.3,273.8119,275.0,13969674
JPM,XNYS,2025-06-23T00:00:00+00:00,275.395,278.55,272.1128,278.27,8094559
JPM,XNYS,2025-06-24T00:00:00+00:00,280.21,282.715,279.51,281.26,9267941
JPM,XNYS,2025-06-25T00:00:00+00:00,281.255,284.28,280.91,284.06,6826901
JPM,XNYS,2025-06-26T00:00:00+00:00,284.7,289.41,284.47,288.75,8942062
JPM,XNYS,2025-06-27T00:00:00+00:00,285.81,288.6962,285.04,287.11,17868633
JPM,XNYS,2025-06-30T00:00:00+00:00,290.8095,292.65,288.92,289.91,12689156
JPM,XNYS,2025-07-01T00:00:00+00:00,290.89,291.13,286.59,290.41,9338260
JPM,XNYS,2025-07-02T00:00:00+00:00,292.23,292.822,289.7,292.0,8158692
JPM,XNYS,2025-07-03T00:00:00+00:00,292.15,296.4,291.21,296.0,6541646
JPM,XNYS,2025-07-07T00:00:00+00:00,295.26,296.04,290.08,291.97,8825732
JPM,XNYS,2025-07-08T00:00:00+00:00,289.275,289.7,280.31,282.78,15440856
JPM,XNYS,2025-07-09T00:00:00+00:00,287.195,287.195,282.48,283.16,11273801
JPM,XNYS,2025-07-10T00:00:00+00:00,283.08,288.31,283.0,288.19,8413847
JPM,XNYS,2025-07-11T00:00:00+00:00,284.7747,287.38,283.655,286.86,7384674
JPM,XNYS,2025-07-14T00:00:00+00:00,287.11,289.3,285.2556,288.7,9079941
JPM,XNYS,2025-07-15T00:00:00+00:00,288.0,291.95,285.48,286.55,12526110
JPM,XNYS,2025-07-16T00:00:00+00:00,288.4,290.73,283.01,285.82,9979768
JPM,XNYS,2025-07-17T00:00:00+00:00,283.615,290.2965,283.44,289.9,8509504
JPM,XNYS,2025-07-18T00:00:00+00:00,289.62,292.5,288.23,291.27,12217018
